"","Jdate","basin_id","term","estimate","std.error","statistic.x","p.value.x","r.squared","adj.r.squared","sigma","statistic.y","p.value.y","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"61",31,"BallCreek","regression coefficient",0.0301759468719388,0.00227597711218446,13.2584579653247,9.97199436214924e-11,0.907114372181522,0.90195405952494,267.365472480041,NA,NA,NA,-132.629907659991,269.259815319981,271.148693278314,1286717.32574056,18,19
"62",31,"ShopeFork","regression coefficient",0.0388155163210627,0.0030234812172776,12.8380213176958,1.66728756955045e-12,0.86829266664774,0.863024373313649,163.100318553343,NA,NA,NA,-168.836034623616,341.672069247232,344.188262323275,665042.847805047,25,26
"63",32,"BallCreek","regression coefficient",0.030082250092226,0.00222639298041614,13.5116533140539,7.30695698969803e-11,0.910253433211569,0.905267512834434,261.540684196021,NA,NA,NA,-132.211400707381,268.422801414762,270.311679373095,1231263.53081501,18,19
"64",32,"ShopeFork","regression coefficient",0.0388009112479847,0.0029813430130743,13.0145746657893,1.23682181750485e-12,0.871385385109015,0.866240800513376,160.827192300879,NA,NA,NA,-168.471124261044,340.942248522089,343.458441598132,646634.644584601,25,26
"65",33,"BallCreek","regression coefficient",0.0299903436549288,0.00217718714226786,13.7748120373747,5.31600575742016e-11,0.913355501701918,0.908541918463136,255.760335134135,NA,NA,NA,-131.786769015662,267.573538031324,269.462415989657,1177440.28250265,18,19
"66",33,"ShopeFork","regression coefficient",0.0387876660544041,0.00293990769817375,13.1934979042025,9.16659970064982e-13,0.874415016953415,0.869391617631552,158.591983092031,NA,NA,NA,-168.107236351123,340.214472702246,342.730665778289,628785.42752658,25,26
"67",34,"BallCreek","regression coefficient",0.0298993753918338,0.0021280996093007,14.0498007053621,3.83320242216303e-11,0.916433337658683,0.911790745306388,249.993883716682,NA,NA,NA,-131.353486124985,266.706972249971,268.595850208304,1124944.9541235,18,19
"68",34,"ShopeFork","regression coefficient",0.038292984283766,0.00283367395363881,13.5135463395825,5.40510198275149e-13,0.879585350519984,0.874768764540784,152.861252080457,NA,NA,NA,-167.150329773354,338.300659546707,340.81685262275,584164.059690129,25,26
"69",35,"BallCreek","regression coefficient",0.0300629972184624,0.00202031912446876,14.880321061341,1.47380886550352e-11,0.924819552795475,0.920642861284113,237.332605140132,NA,NA,NA,-130.365982064499,264.731964128999,266.620842087332,1013881.77832684,18,19
"70",35,"ShopeFork","regression coefficient",0.0379062613188182,0.00266982530542111,14.1980305759516,1.80270028019858e-13,0.889665677938743,0.885252305056293,144.022511305046,NA,NA,NA,-165.601742604825,335.20348520965,337.719678285693,518562.094065304,25,26
"71",36,"BallCreek","regression coefficient",0.0302376978031514,0.00191105909885189,15.8224817962549,5.25929626335196e-12,0.932923653415077,0.929197189715914,224.497520720413,NA,NA,NA,-129.309622136455,262.619244272911,264.508122231244,907184.462573022,18,19
"72",36,"ShopeFork","regression coefficient",0.0375738297609866,0.00251875588610766,14.9176146716826,5.9394298849254e-14,0.899004274045288,0.8949644450071,135.873140218204,NA,NA,NA,-164.08729569776,332.174591395519,334.690784471562,461537.755818895,25,26
"73",37,"BallCreek","regression coefficient",0.0304241276829182,0.00180047189147333,16.8978631807588,1.72873330982112e-12,0.940699309339634,0.937404826525169,211.506528503167,NA,NA,NA,-128.177054975928,260.354109951856,262.242987910189,805230.208790299,18,19
"74",37,"ShopeFork","regression coefficient",0.0376979048203126,0.00240612949172274,15.6674463905605,1.95365717255913e-14,0.907567923035527,0.903870639956948,129.79756061919,NA,NA,NA,-162.89790887086,329.79581774172,332.312010817762,421185.168567307,25,26
"75",38,"BallCreek","regression coefficient",0.0306221981642887,0.00168851091461106,18.135623465213,5.17926799264506e-13,0.948111973210311,0.945229305055328,198.354155696845,NA,NA,NA,-126.957221392219,257.914442784439,259.803320742771,708198.679479751,18,19
"76",38,"ShopeFork","regression coefficient",0.0374392368888608,0.00224488586942264,16.6775680665182,4.67272131128435e-15,0.917530201497808,0.91423140955772,121.099346781592,NA,NA,NA,-161.094425261411,326.188850522821,328.705043598864,366626.294773206,25,26
"77",39,"BallCreek","regression coefficient",0.0301795018013653,0.00140167959968006,21.530956010385,2.68613069032795e-14,0.962623192922125,0.960546703640021,164.659269387117,NA,NA,NA,-123.41988131927,250.83976263854,252.728640596872,488028.149911783,18,19
"78",39,"ShopeFork","regression coefficient",0.0367857483190052,0.00203746937418845,18.0546263836026,7.44442499624337e-16,0.928768746034295,0.925919495875666,109.910358322661,NA,NA,NA,-158.573825432091,321.147650864182,323.663843940225,302007.171665394,25,26
"79",40,"BallCreek","regression coefficient",0.0298268114579221,0.00113192152163651,26.3506001854255,7.87880257980308e-16,0.974731668928962,0.973327872758349,132.970024532542,NA,NA,NA,-119.358544272764,242.717088545528,244.605966503861,318258.493635329,18,19
